,NOME,CPF,IDADE,VALOR_EMPRESTIMO,DATA_EMPRESTIMO,FAIXA_ETARIA,PRAZO_MESES,TAXAS_IDADE,DATA,TAXA_MENSAL_CDI,PRIMEIRA_PARCELA_EMPRESTIMO,AMORTIZACAO
9238,Ana Pereira Santos,965.063.064-32,72,192185.0,2024-06-03,71-75,108,0.33,2024-06-03,0.87,3184.26,878.04
129269,Noemi Sant' Anna Silva,636.322.736-42,49,282689.0,2024-06-05,46-50,84,0.033,2024-06-05,0.87,4815.98,2263.3
60765,Gabriel Ferreira Sande,182.240.674-91,72,72616.0,2024-06-04,71-75,48,0.33,2024-06-04,0.87,1998.94,1127.55
150872,Maria Albernaz Santos,695.629.454-05,82,90242.0,2024-06-06,81-85,72,0.838,2024-06-06,0.87,2187.57,646.24
4888,Carlos Rodrigues Pereira,915.113.287-70,95,64802.0,2024-06-03,91+,108,2.79,2024-06-03,0.87,2421.65,49.9
136445,Augusto Silva Cunha,185.191.625-33,67,204123.0,2024-06-05,66-70,120,0.18,2024-06-05,0.87,2999.81,856.52
65844,Priscila Ferreira Matos,009.183.945-97,25,294910.0,2024-06-04,21-25,60,0.0073,2024-06-04,0.87,6342.8,3755.55
26223,Daniel Rodrigues Prenda,970.170.107-01,45,192799.0,2024-06-03,41-45,36,0.0195,2024-06-03,0.87,6282.27,4567.32
188892,Priscila Oliveira Prenda,402.486.321-59,40,128301.0,2024-06-06,36-40,96,0.0112,2024-06-06,0.87,1986.07,855.48
4418,Telma Costa Pereira,637.320.241-05,97,120533.0,2024-06-03,91+,72,2.79,2024-06-03,0.87,4770.03,358.52
67838,Gabriel Souza Costa,928.377.703-45,30,43419.0,2024-06-04,26-30,96,0.0091,2024-06-04,0.87,671.53,289.83
93040,Irani Santos Silva,670.091.163-00,58,70755.0,2024-06-04,56-60,60,0.071,2024-06-04,0.87,1548.71,882.91
52188,Carlos Ferreira Albernaz,877.570.741-18,82,38915.0,2024-06-04,81-85,96,0.838,2024-06-04,0.87,827.47,162.8
35814,Daniel Sant' Anna Santos,190.522.848-14,87,150482.0,2024-06-03,86-90,84,1.27,2024-06-03,0.87,3874.61,654.3
156116,Maria Sande Rodrigues,687.164.417-29,98,40775.0,2024-06-06,91+,84,2.79,2024-06-06,0.87,1568.97,76.61
55032,Carlos Souza Silva,167.787.910-63,91,64611.0,2024-06-04,91+,120,2.79,2024-06-04,0.87,2396.85,32.09
160864,Alexandre Souza Souza,543.627.126-07,72,45330.0,2024-06-06,71-75,48,0.33,2024-06-06,0.87,1247.82,703.86
121230,Gloria Albernaz Rodrigues,858.080.410-82,55,66353.0,2024-06-05,51-55,96,0.05,2024-06-05,0.87,1043.73,433.28
144541,Pedro Santos Albernaz,605.290.464-07,59,234112.0,2024-06-05,56-60,120,0.071,2024-06-05,0.87,3263.71,1060.72
92661,Daniel Sant' Anna Cunha,096.396.111-07,59,186252.0,2024-06-04,56-60,84,0.071,2024-06-04,0.87,3217.76,1465.13
159002,Leticia Cristina Prenda,283.175.665-01,73,297303.0,2024-06-06,71-75,84,0.33,2024-06-06,0.87,5637.36,2069.72
108406,Daniel Pereira Cunha,565.399.299-27,73,171133.0,2024-06-05,71-75,48,0.33,2024-06-05,0.87,4710.87,2657.27
67787,Noemi Oliveira Sant' Anna,504.845.577-00,26,202620.0,2024-06-04,26-30,48,0.0091,2024-06-04,0.87,5192.57,3411.34
131890,Marcelo Rodrigues Silva,474.658.469-94,34,42472.0,2024-06-05,31-35,108,0.0095,2024-06-05,0.87,610.77,237.23
118842,Samuel Rodrigues Sande,303.441.616-41,26,157361.0,2024-06-05,26-30,48,0.0091,2024-06-05,0.87,4032.71,2649.35
179118,Maria Sant' Anna Matos,608.449.056-58,48,75101.0,2024-06-06,46-50,72,0.033,2024-06-06,0.87,1423.18,745.02
77687,Gloria Ferreira Pereira,137.064.132-05,48,270169.0,2024-06-04,46-50,120,0.033,2024-06-04,0.87,3696.54,1256.91
94810,Priscila Silva Sande,015.581.610-15,19,184963.0,2024-06-04,15-20,120,0.0065,2024-06-04,0.87,2497.66,876.46
4653,Noemi Ferreira Oliveira,155.340.971-08,95,24555.0,2024-06-03,91+,48,2.79,2024-06-03,0.87,1093.46,194.75
91381,Gloria Santos Santos,145.750.293-35,37,63046.0,2024-06-04,36-40,120,0.0112,2024-06-04,0.87,853.34,297.78
41616,Alexandre Maia Silva,209.370.240-15,38,71973.0,2024-06-03,36-40,36,0.0112,2024-06-03,0.87,2341.82,1707.59
154891,Gabriel Pereira Prenda,612.371.856-88,97,232577.0,2024-06-06,91+,36,2.79,2024-06-06,0.87,11727.46,3215.14
32977,Samuel Matos Oliveira,999.543.491-11,86,197269.0,2024-06-03,86-90,120,1.27,2024-06-03,0.87,4582.65,361.09
115331,Alexandre Maia Rodrigues,947.273.214-32,21,49133.0,2024-06-05,21-25,60,0.0073,2024-06-05,0.87,1056.73,625.69
136575,Pedro Rodrigues Cristina,282.507.257-51,66,230938.0,2024-06-05,66-70,120,0.18,2024-06-05,0.87,3393.88,969.03
44449,José Costa Cunha,967.471.405-75,59,203540.0,2024-06-03,56-60,108,0.071,2024-06-03,0.87,3009.9,1094.59
28829,Priscila Sant' Anna Costa,642.345.367-50,49,282903.0,2024-06-03,46-50,96,0.033,2024-06-03,0.87,4418.98,1864.37
94190,Irani Pereira Cunha,932.109.554-33,60,50416.0,2024-06-04,56-60,120,0.071,2024-06-04,0.87,702.84,228.43
82993,Augusto Souza Ferreira,455.709.613-13,89,132446.0,2024-06-04,86-90,96,1.27,2024-06-04,0.87,3261.53,427.19
74684,Maria Cunha Ferreira,894.998.104-12,41,256194.0,2024-06-04,41-45,96,0.0195,2024-06-04,0.87,3979.5,1700.65
43845,Ana Souza Souza,996.258.912-69,59,136541.0,2024-06-03,56-60,108,0.071,2024-06-03,0.87,2019.14,734.29
90851,Maria Oliveira Ferreira,495.724.113-90,38,138605.0,2024-06-04,36-40,96,0.0112,2024-06-04,0.87,2145.58,924.19
108110,Alexandre Cristina Matos,646.084.523-98,71,208723.0,2024-06-05,71-75,36,0.33,2024-06-05,0.87,7174.27,4669.59
18460,Ana Souza Pereira,025.744.616-81,28,38459.0,2024-06-03,26-30,36,0.0091,2024-06-03,0.87,1250.9,912.81
102317,Irani Ferreira Ferreira,150.543.796-22,85,115654.0,2024-06-05,81-85,72,0.838,2024-06-05,0.87,2803.59,828.22
195027,José Ferreira Costa,864.673.283-53,20,150505.0,2024-06-06,15-20,96,0.0065,2024-06-06,0.87,2325.25,1006.07
383,Rosimeri Maia Sant' Anna,872.661.118-03,83,209499.0,2024-06-03,81-85,108,0.838,2024-06-03,0.87,4262.67,684.43
85525,Gloria Albernaz Pereira,943.509.304-34,66,227563.0,2024-06-04,66-70,72,0.18,2024-06-04,0.87,4520.22,2130.81
111041,Gloria Rodrigues Matos,575.179.638-13,72,258849.0,2024-06-05,71-75,84,0.33,2024-06-05,0.87,4908.21,1802.02
45887,Rosimeri Sande Prenda,915.416.126-63,20,140273.0,2024-06-03,15-20,36,0.0065,2024-06-03,0.87,4560.41,3330.92
51334,Ana Prenda Cunha,899.833.703-79,85,83213.0,2024-06-04,81-85,108,0.838,2024-06-04,0.87,1693.13,271.85
38857,Pedro Pereira Sant' Anna,476.932.859-11,68,146905.0,2024-06-03,66-70,36,0.18,2024-06-03,0.87,4921.55,3379.05
37725,Priscila Maia Ferreira,089.076.802-13,66,159965.0,2024-06-03,66-70,84,0.18,2024-06-03,0.87,2875.4,1195.77
188849,Pedro Oliveira Sant' Anna,117.912.896-65,38,275745.0,2024-06-06,36-40,96,0.0112,2024-06-06,0.87,4268.48,1838.62
306,Priscila Sande Ferreira,966.862.857-81,84,141339.0,2024-06-03,81-85,36,0.838,2024-06-03,0.87,5288.45,2874.38
104690,Igor Matos Oliveira,633.299.679-00,93,61998.0,2024-06-05,91+,96,2.79,2024-06-05,0.87,2343.46,74.33
118873,Noemi Prenda Albernaz,740.251.278-90,26,256637.0,2024-06-05,26-30,48,0.0091,2024-06-05,0.87,6576.87,4320.77
67820,Samuel Pereira Costa,896.671.826-49,26,173464.0,2024-06-04,26-30,60,0.0091,2024-06-04,0.87,3732.65,2207.73
47875,Augusto Silva Sande,161.050.412-76,77,225450.0,2024-06-03,76-80,108,0.51,2024-06-03,0.87,4027.93,916.72
112027,Irani Rodrigues Costa,565.575.407-00,63,111204.0,2024-06-05,61-65,60,0.111,2024-06-05,0.87,2460.88,1369.97
61622,Igor Oliveira Matos,625.917.142-07,62,101432.0,2024-06-04,61-65,120,0.111,2024-06-04,0.87,1441.92,446.87
143187,Ana Cunha Ferreira,776.658.162-07,59,160315.0,2024-06-05,56-60,72,0.071,2024-06-05,0.87,3075.48,1566.92
101272,Priscila Cristina Matos,710.693.383-03,82,89390.0,2024-06-05,81-85,60,0.838,2024-06-05,0.87,2393.03,866.25
161740,Irani Sande Souza,535.504.523-57,64,79580.0,2024-06-06,61-65,108,0.111,2024-06-06,0.87,1198.15,417.47
93417,Maria Ferreira Rodrigues,080.448.416-36,60,130747.0,2024-06-04,56-60,60,0.071,2024-06-04,0.87,2861.83,1631.5
32797,Maria Rodrigues Cunha,664.433.436-97,31,184572.0,2024-06-03,31-35,84,0.0095,2024-06-03,0.87,3117.21,1493.9
138245,Noemi Silva Oliveira,836.235.893-90,69,276438.0,2024-06-05,66-70,48,0.18,2024-06-05,0.87,7361.38,4458.78
184180,Igor Pereira Souza,212.277.592-07,88,285509.0,2024-06-06,86-90,96,1.27,2024-06-06,0.87,7030.77,920.88
170696,Telma Pereira Matos,655.173.794-35,54,173193.0,2024-06-06,51-55,48,0.05,2024-06-06,0.87,4479.63,2886.25
86876,Maria Sant' Anna Silva,587.579.968-49,66,203781.0,2024-06-04,66-70,36,0.18,2024-06-04,0.87,6826.99,4687.29
116516,Leticia Oliveira Silva,573.948.118-08,24,188045.0,2024-06-05,21-25,84,0.0073,2024-06-05,0.87,3173.27,1523.55
4494,Noemi Prenda Prenda,891.585.943-02,93,202156.0,2024-06-03,91+,36,2.79,2024-06-03,0.87,10193.52,2794.61
153758,Telma Pereira Silva,591.477.435-73,97,50457.0,2024-06-06,91+,96,2.79,2024-06-06,0.87,1907.22,60.49
140489,Carlos Rodrigues Sande,348.704.048-42,39,147393.0,2024-06-05,36-40,48,0.0112,2024-06-05,0.87,3779.06,2480.23
149048,Noemi Souza Pereira,404.447.400-15,79,193395.0,2024-06-05,76-80,36,0.51,2024-06-05,0.87,6852.78,4183.93
187488,Rosimeri Santos Santos,733.503.368-33,70,268430.0,2024-06-06,66-70,48,0.18,2024-06-06,0.87,7148.13,4329.61
25058,Alexandre Rodrigues Ferreira,075.548.449-54,45,298714.0,2024-06-03,41-45,84,0.0195,2024-06-03,0.87,5063.65,2406.59
73869,Marcelo Souza Ferreira,141.048.188-36,42,157883.0,2024-06-04,41-45,120,0.0195,2024-06-04,0.87,2145.81,741.44
54242,Charles Oliveira Prenda,529.234.659-46,96,138651.0,2024-06-04,91+,72,2.79,2024-06-04,0.87,5487.04,412.41
25770,João Souza Sant' Anna,400.597.949-17,44,203007.0,2024-06-03,41-45,60,0.0195,2024-06-03,0.87,4380.93,2575.18
63324,Irani Silva Ferreira,220.575.827-60,65,273588.0,2024-06-04,61-65,96,0.111,2024-06-04,0.87,4412.38,1728.48
66883,Gabriel Albernaz Silva,560.378.336-21,21,285649.0,2024-06-04,21-25,108,0.0073,2024-06-04,0.87,4103.62,1597.62
178096,Rosimeri Albernaz Sande,209.642.265-53,50,187654.0,2024-06-06,46-50,120,0.033,2024-06-06,0.87,2567.54,873.02
199260,Telma Pereira Sant' Anna,328.322.936-89,80,49865.0,2024-06-06,76-80,120,0.51,2024-06-06,0.87,852.79,164.65
120533,Augusto Cunha Albernaz,618.938.386-68,55,155114.0,2024-06-05,51-55,72,0.05,2024-06-05,0.87,2955.63,1528.58
113390,Marcelo Silva Sant' Anna,433.254.560-57,64,109793.0,2024-06-05,61-65,84,0.111,2024-06-05,0.87,1924.78,847.71
17628,Augusto Costa Costa,021.604.645-97,22,233941.0,2024-06-03,21-25,96,0.0073,2024-06-03,0.87,3615.5,1563.14
123386,Priscila Rodrigues Ferreira,890.223.516-53,44,149393.0,2024-06-05,41-45,60,0.0195,2024-06-05,0.87,3223.93,1895.08
153031,Leticia Souza Santos,350.352.242-52,96,57908.0,2024-06-06,91+,84,2.79,2024-06-06,0.87,2228.23,108.8
30853,Gabriel Silva Sant' Anna,695.098.648-38,33,276159.0,2024-06-03,31-35,48,0.0095,2024-06-03,0.87,7077.81,4648.99
16232,Irani Sande Cristina,736.329.550-69,22,57472.0,2024-06-03,21-25,120,0.0073,2024-06-03,0.87,776.39,272.19
34717,Samuel Souza Souza,683.343.301-11,86,170473.0,2024-06-03,86-90,84,1.27,2024-06-03,0.87,4389.34,741.22
91206,João Prenda Ferreira,848.763.067-70,39,38229.0,2024-06-04,36-40,60,0.0112,2024-06-04,0.87,823.1,486.23
14917,Augusto Souza Cunha,886.602.733-20,24,172566.0,2024-06-03,21-25,48,0.0073,2024-06-03,0.87,4420.57,2906.65
113916,Gabriel Silva Cunha,326.383.831-80,61,20857.0,2024-06-05,61-65,108,0.111,2024-06-05,0.87,314.02,109.41
10246,João Costa Silva,779.924.372-41,73,214681.0,2024-06-03,71-75,60,0.33,2024-06-03,0.87,5039.88,2463.71
122416,Marcelo Santos Rodrigues,688.082.403-04,51,85256.0,2024-06-05,51-55,72,0.05,2024-06-05,0.87,1624.52,840.16
154063,Carlos Sant' Anna Sande,527.130.242-34,92,261377.0,2024-06-06,91+,108,2.79,2024-06-06,0.87,9767.67,201.27
63194,Samuel Cristina Pereira,064.326.667-40,63,108090.0,2024-06-04,61-65,96,0.111,2024-06-04,0.87,1743.26,682.9
67578,Gabriel Rodrigues Santos,053.888.964-04,29,206447.0,2024-06-04,26-30,84,0.0091,2024-06-04,0.87,3486.13,1671.25
159178,Leticia Cunha Maia,673.022.961-62,73,144919.0,2024-06-06,71-75,48,0.33,2024-06-06,0.87,3989.27,2250.24
190654,Maria Sande Ferreira,774.275.865-22,38,284067.0,2024-06-06,36-40,84,0.0112,2024-06-06,0.87,4800.58,2297.38
194298,Igor Silva Matos,881.086.668-13,59,191157.0,2024-06-06,56-60,84,0.071,2024-06-06,0.87,3302.5,1503.71
129132,Rosimeri Sande Sande,351.896.366-07,50,68023.0,2024-06-05,46-50,48,0.033,2024-06-05,0.87,1752.68,1138.43
110925,Carlos Pereira Albernaz,794.489.764-53,75,174899.0,2024-06-05,71-75,84,0.33,2024-06-05,0.87,3316.38,1217.59
41859,Fatima Prenda Maia,575.222.260-58,36,46558.0,2024-06-03,36-40,48,0.0112,2024-06-03,0.87,1193.72,783.45
46971,José Silva Maia,517.975.191-82,76,274204.0,2024-06-03,76-80,96,0.51,2024-06-03,0.87,5171.36,1387.34
73112,Gabriel Silva Prenda,053.346.083-20,55,245784.0,2024-06-04,51-55,96,0.05,2024-06-04,0.87,3866.18,1604.97
158654,Charles Oliveira Albernaz,168.707.678-23,73,253583.0,2024-06-06,71-75,84,0.33,2024-06-06,0.87,4808.36,1765.36
41394,Irani Matos Ferreira,244.935.522-71,40,238202.0,2024-06-03,36-40,36,0.0112,2024-06-03,0.87,7750.51,5651.47
40981,Marcelo Matos Oliveira,547.170.462-26,37,274151.0,2024-06-03,36-40,84,0.0112,2024-06-03,0.87,4633.01,2217.19
163729,Igor Santos Maia,986.718.675-36,64,169470.0,2024-06-06,61-65,60,0.111,2024-06-06,0.87,3750.27,2087.77
375,Fatima Silva Ferreira,960.083.220-02,82,93203.0,2024-06-03,81-85,60,0.838,2024-06-03,0.87,2495.1,903.19
152335,Gloria Albernaz Cunha,597.417.431-30,83,214051.0,2024-06-06,81-85,72,0.838,2024-06-06,0.87,5188.85,1532.86
67390,Rosimeri Costa Silva,805.097.258-56,21,180811.0,2024-06-04,21-25,120,0.0073,2024-06-04,0.87,2442.57,856.32
71972,Samuel Maia Albernaz,999.466.545-63,52,35992.0,2024-06-04,51-55,84,0.05,2024-06-04,0.87,617.03,285.9
78726,Samuel Ferreira Maia,368.687.747-37,47,80594.0,2024-06-04,46-50,60,0.033,2024-06-04,0.87,1745.72,1017.96
196604,Charles Prenda Albernaz,798.282.518-41,18,269961.0,2024-06-06,15-20,48,0.0065,2024-06-06,0.87,6914.26,4548.05
43566,Alexandre Silva Sant' Anna,624.811.620-21,57,183757.0,2024-06-03,56-60,48,0.071,2024-06-03,0.87,4775.4,3046.25
132054,Daniel Rodrigues Sant' Anna,351.389.161-06,31,247934.0,2024-06-05,31-35,84,0.0095,2024-06-05,0.87,4187.32,2006.74
101424,Priscila Sande Santos,295.065.785-08,81,34633.0,2024-06-05,81-85,60,0.838,2024-06-05,0.87,927.15,335.62
37908,Leticia Rodrigues Rodrigues,301.614.956-72,70,205719.0,2024-06-03,66-70,108,0.18,2024-06-03,0.87,3193.69,1033.64
95453,Noemi Cunha Pereira,939.389.064-13,20,242175.0,2024-06-04,15-20,108,0.0065,2024-06-04,0.87,3477.81,1355.15
123746,Igor Maia Matos,522.958.387-89,44,279518.0,2024-06-05,41-45,84,0.0195,2024-06-05,0.87,4738.25,2251.94
188639,Marcelo Cristina Albernaz,224.560.048-76,66,31820.0,2024-06-06,66-70,108,0.18,2024-06-06,0.87,493.99,159.88
18282,Pedro Sant' Anna Silva,885.564.714-80,27,58966.0,2024-06-03,26-30,84,0.0091,2024-06-03,0.87,995.72,477.35
68060,Marcelo Oliveira Souza,065.334.387-60,28,177012.0,2024-06-04,26-30,96,0.0091,2024-06-04,0.87,2737.72,1181.61
1402,Gloria Prenda Maia,553.555.727-74,85,252954.0,2024-06-03,81-85,120,0.838,2024-06-03,0.87,4971.95,651.5
98406,Noemi Cristina Rodrigues,657.544.270-69,78,119210.0,2024-06-04,76-80,60,0.51,2024-06-04,0.87,2934.55,1289.45
83640,João Maia Santos,288.530.373-50,89,252012.0,2024-06-04,86-90,108,1.27,2024-06-04,0.87,6002.89,609.83
160669,Pedro Albernaz Santos,119.997.339-40,74,295409.0,2024-06-06,71-75,96,0.33,2024-06-06,0.87,5199.17,1654.26
134334,Fatima Sant' Anna Cunha,131.143.654-50,86,87876.0,2024-06-05,86-90,36,1.27,2024-06-05,0.87,3525.62,1645.07
187230,Samuel Cristina Pereira,467.827.778-19,68,198298.0,2024-06-06,66-70,108,0.18,2024-06-06,0.87,3078.49,996.36
100018,Alexandre Souza Sande,937.403.527-87,82,279321.0,2024-06-05,81-85,36,0.838,2024-06-05,0.87,10451.3,5680.5
185978,Igor Silva Cristina,772.416.560-24,69,81153.0,2024-06-06,66-70,36,0.18,2024-06-06,0.87,2718.76,1866.65
138206,Charles Ferreira Souza,693.384.514-10,69,248864.0,2024-06-05,66-70,108,0.18,2024-06-05,0.87,3863.5,1250.43
179840,Pedro Silva Cristina,037.381.659-67,33,222101.0,2024-06-06,31-35,120,0.0095,2024-06-06,0.87,3003.64,1050.26
74465,Samuel Sande Ferreira,767.093.145-02,44,194756.0,2024-06-04,41-45,36,0.0195,2024-06-04,0.87,6346.04,4613.69
28375,Leticia Souza Cunha,492.274.735-48,46,249980.0,2024-06-03,46-50,96,0.033,2024-06-03,0.87,3904.71,1647.39
72292,Augusto Sande Ferreira,200.300.997-30,51,114329.0,2024-06-04,51-55,72,0.05,2024-06-04,0.87,2178.49,1126.66
51215,João Cristina Sant' Anna,970.539.501-23,84,75716.0,2024-06-04,81-85,72,0.838,2024-06-04,0.87,1835.45,542.22
69377,Augusto Ferreira Matos,008.926.038-44,30,177574.0,2024-06-04,26-30,120,0.0091,2024-06-04,0.87,2400.99,839.94
80742,José Silva Matos,766.156.738-51,35,200046.0,2024-06-04,31-35,120,0.0095,2024-06-04,0.87,2705.37,945.97
19458,Augusto Pereira Cristina,407.721.321-51,29,33630.0,2024-06-03,26-30,84,0.0091,2024-06-03,0.87,567.89,272.25
70741,Pedro Maia Ferreira,816.108.781-40,54,102385.0,2024-06-04,51-55,72,0.05,2024-06-04,0.87,1950.9,1008.96
99402,José Prenda Santos,074.782.667-62,78,115512.0,2024-06-04,76-80,120,0.51,2024-06-04,0.87,1975.48,381.41
21091,José Oliveira Pereira,074.186.725-78,53,220478.0,2024-06-03,51-55,36,0.05,2024-06-03,0.87,7222.34,5193.94
53230,Noemi Cunha Matos,838.866.093-40,91,293921.0,2024-06-04,91+,36,2.79,2024-06-04,0.87,14820.68,4063.17
50592,Pedro Cunha Sant' Anna,702.206.496-26,81,125010.0,2024-06-04,81-85,84,0.838,2024-06-04,0.87,2813.45,678.28
53234,Rosimeri Rodrigues Prenda,629.741.259-64,97,235237.0,2024-06-04,91+,60,2.79,2024-06-04,0.87,9736.13,1126.46
180293,Augusto Pereira Prenda,334.058.341-20,31,273302.0,2024-06-06,31-35,84,0.0095,2024-06-06,0.87,4615.75,2212.06
103127,Fatima Santos Sant' Anna,285.842.438-10,98,56835.0,2024-06-05,91+,108,2.79,2024-06-05,0.87,2123.93,43.77
91177,Marcelo Silva Pereira,041.926.959-28,37,228522.0,2024-06-04,36-40,120,0.0112,2024-06-04,0.87,3093.09,1079.35
57874,Maria Ferreira Costa,336.786.392-08,95,294323.0,2024-06-04,91+,120,2.79,2024-06-04,0.87,10918.38,146.16
76521,Priscila Silva Souza,710.988.654-99,47,144673.0,2024-06-04,46-50,72,0.033,2024-06-04,0.87,2741.58,1435.18
178238,Fatima Oliveira Pereira,286.229.658-99,47,104735.0,2024-06-06,46-50,60,0.033,2024-06-06,0.87,2268.64,1322.88
16057,Rosimeri Pereira Albernaz,920.566.103-10,21,272086.0,2024-06-03,21-25,60,0.0073,2024-06-03,0.87,5851.91,3464.9
87994,Gloria Cunha Rodrigues,529.714.657-72,67,175788.0,2024-06-04,66-70,96,0.18,2024-06-04,0.87,2915.32,1069.55
13778,Irani Souza Souza,592.801.990-48,65,149970.0,2024-06-03,61-65,60,0.111,2024-06-03,0.87,3318.75,1847.54
93474,José Costa Cunha,138.392.788-05,59,264247.0,2024-06-04,56-60,96,0.071,2024-06-04,0.87,4192.64,1706.08
82945,Charles Rodrigues Prenda,186.502.447-34,87,298451.0,2024-06-04,86-90,120,1.27,2024-06-04,0.87,6933.15,546.3
96914,Priscila Albernaz Sande,094.772.288-26,80,20193.0,2024-06-04,76-80,60,0.51,2024-06-04,0.87,497.08,218.42
138707,Maria Cristina Silva,992.694.580-59,39,158514.0,2024-06-05,36-40,48,0.0112,2024-06-05,0.87,4064.19,2667.36
187696,Augusto Sant' Anna Ferreira,235.709.296-39,67,163247.0,2024-06-06,66-70,120,0.18,2024-06-06,0.87,2399.09,685.0
74048,Gabriel Cristina Ferreira,945.417.901-22,43,112712.0,2024-06-04,41-45,60,0.0195,2024-06-04,0.87,2432.35,1429.78
107118,Noemi Souza Silva,351.984.716-74,92,232725.0,2024-06-05,91+,36,2.79,2024-06-05,0.87,11734.93,3217.19
62923,Carlos Prenda Ferreira,646.412.815-99,64,119683.0,2024-06-04,61-65,48,0.111,2024-06-04,0.87,3138.33,1964.24
155135,Samuel Oliveira Ferreira,138.248.336-89,97,160510.0,2024-06-06,91+,96,2.79,2024-06-06,0.87,6067.11,192.44
126299,Rosimeri Costa Albernaz,275.728.554-82,44,275070.0,2024-06-05,41-45,108,0.0195,2024-06-05,0.87,3973.73,1526.98
169142,Rosimeri Sande Matos,734.871.832-93,29,186657.0,2024-06-06,26-30,60,0.0091,2024-06-06,0.87,4016.54,2375.64
26714,Gabriel Cristina Sant' Anna,351.057.775-22,43,227795.0,2024-06-03,41-45,120,0.0195,2024-06-03,0.87,3095.99,1069.75
12273,Gabriel Cristina Costa,337.420.627-19,63,282761.0,2024-06-03,61-65,36,0.111,2024-06-03,0.87,9360.95,6587.06
131356,Marcelo Ferreira Maia,009.923.951-51,33,270749.0,2024-06-05,31-35,108,0.0095,2024-06-05,0.87,3893.49,1512.25
47065,Igor Ferreira Sant' Anna,991.437.952-42,80,234067.0,2024-06-03,76-80,120,0.51,2024-06-03,0.87,4003.0,772.88
55434,Gabriel Cunha Prenda,890.446.711-03,96,238318.0,2024-06-04,91+,96,2.79,2024-06-04,0.87,9008.17,285.73
87259,Daniel Albernaz Cunha,556.762.419-00,67,170718.0,2024-06-04,66-70,120,0.18,2024-06-04,0.87,2508.88,716.34
14419,Priscila Pereira Matos,938.473.174-90,64,90828.0,2024-06-03,61-65,108,0.111,2024-06-03,0.87,1367.5,476.48
34362,Augusto Santos Albernaz,150.367.584-04,87,30287.0,2024-06-03,86-90,48,1.27,2024-06-03,0.87,1015.75,367.61
120218,Gloria Matos Ferreira,802.490.294-05,26,138216.0,2024-06-05,26-30,120,0.0091,2024-06-05,0.87,1868.83,653.77
37723,Noemi Matos Sant' Anna,858.858.628-26,68,274417.0,2024-06-03,66-70,36,0.18,2024-06-03,0.87,9193.41,6312.03
110187,Priscila Santos Cunha,983.474.713-63,74,185958.0,2024-06-05,71-75,36,0.33,2024-06-05,0.87,6391.79,4160.29
105046,José Sande Santos,695.430.402-65,91,272991.0,2024-06-05,91+,108,2.79,2024-06-05,0.87,10201.68,210.21
68222,Augusto Pereira Ferreira,751.117.945-22,28,35827.0,2024-06-04,26-30,120,0.0091,2024-06-04,0.87,484.42,169.46
513,João Santos Cristina,437.501.612-40,83,177857.0,2024-06-03,81-85,60,0.838,2024-06-03,0.87,4761.34,1723.54
81046,Noemi Santos Souza,951.917.839-21,35,260295.0,2024-06-04,31-35,84,0.0095,2024-06-04,0.87,4396.08,2106.79
144849,Ana Maia Maia,615.512.079-07,20,266527.0,2024-06-05,15-20,108,0.0065,2024-06-05,0.87,3827.52,1491.41
73180,Marcelo Prenda Rodrigues,194.458.175-83,53,288595.0,2024-06-04,51-55,108,0.05,2024-06-04,0.87,4227.33,1572.26
178038,Ana Souza Ferreira,241.287.741-62,49,284129.0,2024-06-06,46-50,48,0.033,2024-06-06,0.87,7320.85,4755.17
96854,Gabriel Silva Matos,230.360.946-10,76,40545.0,2024-06-04,76-80,108,0.51,2024-06-04,0.87,724.38,164.86
161572,Irani Costa Rodrigues,226.729.402-82,61,265070.0,2024-06-06,61-65,96,0.111,2024-06-06,0.87,4275.0,1674.66
11355,Carlos Pereira Oliveira,545.071.837-31,72,31594.0,2024-06-03,71-75,48,0.33,2024-06-03,0.87,869.71,490.58
6935,Daniel Cristina Maia,762.177.425-86,99,83672.0,2024-06-03,91+,120,2.79,2024-06-03,0.87,3103.95,41.55
157163,Fatima Oliveira Albernaz,469.216.091-89,95,249592.0,2024-06-06,91+,48,2.79,2024-06-06,0.87,11114.56,1979.49
45922,Carlos Sande Santos,773.395.896-27,18,175330.0,2024-06-03,15-20,120,0.0065,2024-06-03,0.87,2367.58,830.81
98898,Charles Costa Sande,685.700.486-29,80,27750.0,2024-06-04,76-80,108,0.51,2024-06-04,0.87,495.79,112.84
85203,José Pereira Rodrigues,540.177.558-01,87,74038.0,2024-06-04,86-90,36,1.27,2024-06-04,0.87,2970.43,1386.02
64206,José Cristina Prenda,922.168.071-17,65,81712.0,2024-06-04,61-65,72,0.111,2024-06-04,0.87,1587.81,786.22
80267,Priscila Oliveira Rodrigues,985.148.697-36,31,39967.0,2024-06-04,31-35,108,0.0095,2024-06-04,0.87,574.74,223.23
3993,Samuel Costa Pereira,305.789.763-07,92,221560.0,2024-06-03,91+,120,2.79,2024-06-03,0.87,8219.12,110.02
92093,Leticia Souza Santos,978.892.452-20,60,68538.0,2024-06-04,56-60,60,0.071,2024-06-04,0.87,1500.18,855.24
52223,Marcelo Maia Pereira,615.239.441-45,81,108953.0,2024-06-04,81-85,60,0.838,2024-06-04,0.87,2916.74,1055.82
79888,Telma Matos Matos,784.595.973-18,33,164961.0,2024-06-04,31-35,108,0.0095,2024-06-04,0.87,2372.21,921.38
